"account_id";"account_currency";"exclude from invoice";"tap_code";"Tap name";"Discount (%)";"Markup (%)";"Account name";"Remove Discount for bill cycle";"Comments"
"157,753,305";"EUR";;;;;"1";"AVIC B.V.";;;
"157,753,305";"EUR";;"NLDPT";;"1";"1";"AVIC B.V.";"Never";;
"128,885,706";"EUR";;;;;"1";"Comgate";;;
"128,885,706";"EUR";;"AUSTA";;;"4.166666666666667";"Comgate";;;
"128,885,706";"EUR";;"AUSOP";;;"1.666666666666667";"Comgate";;;
"128,885,706";"EUR";;"AUTCA";;;"0.8333333333333333";"Comgate";;;
"128,885,706";"EUR";;"DNKIA";;;"0.4583333333333333";"Comgate";;;
"128,885,706";"EUR";;"DNKHU";;;"0.8333333333333333";"Comgate";;;
"128,885,706";"EUR";;"IRLDF";;;"0.8333333333333333";"Comgate";;;
"128,885,706";"EUR";;"ITAWI";;;"0.8333333333333333";"Comgate";;;
"128,885,706";"EUR";;"JAMDC";;;"0.4166666666666667";"Comgate";;;
"128,885,706";"EUR";;"MEXMS";;;"1";"Comgate";;;
"128,885,706";"EUR";;"NLDPT";;;"0.75";"Comgate";;;
"128,885,706";"EUR";;"NORNC";;;"0.4583333333333333";"Comgate";;;
"128,885,706";"EUR";;"SWETR";;;"0.4583333333333333";"Comgate";;;
"128,885,706";"EUR";;"SWEHU";;;"0.8333333333333333";"Comgate";;;
"128,885,706";"EUR";;"GBRME";;;"1.083333333333333";"Comgate";;;
"128,885,706";"EUR";;"GBRHU";;;"0.8333333333333333";"Comgate";;;
"128,885,706";"EUR";;"USA44";;;"0.8333333333333333";"Comgate";;;
"128,885,706";"EUR";;"BELMO";;;"0.166666666666667";"Comgate";;;
"128,885,706";"EUR";;"CZEET";;;"0.5";"Comgate";;;
"128,885,706";"EUR";;"ESTEM";;;"0.458333333333333";"Comgate";;;
"128,885,706";"EUR";;"FINTF";;;"0.458333333333333";"Comgate";;;
"128,885,706";"EUR";;"HUNH1";;;"0.5";"Comgate";;;
"128,885,706";"EUR";;"ISRMS";;;"0.416666666666667";"Comgate";;;
"128,885,706";"EUR";;"LTUOM";;;"0.458333333333333";"Comgate";;;
"128,885,706";"EUR";;"LUXVM";;;"0.166666666666667";"Comgate";;;
"128,885,706";"EUR";;"MDAVX";;;"0.166666666666667";"Comgate";;;
"128,885,706";"EUR";;"ROMMR";;;"0.166666666666667";"Comgate";;;
"128,885,706";"EUR";;"SVKGT";;;"0.166666666666667";"Comgate";;;
"103,831,805";"EUR";;;;"1";"1";"ComVision BV";;"Special setup with 0.06€/billable SIM";
"162,715,505";"EUR";;;;"1";"1";"CSL - Caburn Telecom";;"Special setup with 0.04€/billable SIM";
"231,256,005";"EUR";;;;"1";"1";"CSL - Iberia";;"Special setup with 0.04€/billable SIM";
"106,787,205";"EUR";;;;"1";"1";"CSL Dualcom";;"Special setup with 0.04€/billable SIM";
"195,526,005";"EUR";"YES";;;;"1";"Inosat";;;
"156,996,005";"EUR";"YES";;;;"1";"Northgate PLC";;;
"218,869,605";"EUR";"YES";;;;"1";"SIMIoT s.r.o";;;
"231,020,605";"EUR";"YES";;;;"1";"SIMIoT s.r.o NAM";;;
"231,036,805";"EUR";;;;;"1";"Telit Wireless";;;
"231,036,805";"EUR";;"AUSTA";;;"4.166666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"AUSOP";;;"1.666666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"AUTCA";;;"0.8333333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"DNKIA";;;"0.4583333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"DNKHU";;;"0.8333333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"IRLDF";;;"0.8333333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"ITAWI";;;"0.8333333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"JAMDC";;;"0.4166666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"MEXMS";;;"1";"Telit Wireless";;;
"231,036,805";"EUR";;"NLDPT";;;"0.75";"Telit Wireless";;;
"231,036,805";"EUR";;"NORNC";;;"0.4583333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"SWETR";;;"0.4583333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"SWEHU";;;"0.8333333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"GBRME";;;"1.083333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"GBRHU";;;"0.8333333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"USA44";;;"0.8333333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"BELMO";;;"0.166666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"CZEET";;;"0.5";"Telit Wireless";;;
"231,036,805";"EUR";;"ESTEM";;;"0.458333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"FINTF";;;"0.458333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"HUNH1";;;"0.5";"Telit Wireless";;;
"231,036,805";"EUR";;"ISRMS";;;"0.416666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"LTUOM";;;"0.458333333333333";"Telit Wireless";;;
"231,036,805";"EUR";;"LUXVM";;;"0.166666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"MDAVX";;;"0.166666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"ROMMR";;;"0.166666666666667";"Telit Wireless";;;
"231,036,805";"EUR";;"SVKGT";;;"0.166666666666667";"Telit Wireless";;;
"109,351,305";"EUR";;;;;"1";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"AUSTA";;;"4.166666666666667";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"AUSOP";;;"1.666666666666667";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"AUTCA";;;"0.8333333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"DNKIA";;;"0.4583333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"DNKHU";;;"0.8333333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"IRLDF";;;"0.8333333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"ITAWI";;;"0.8333333333333333";"Telit Wireless Solutions";;;
